Designator,Mid X,Mid Y,Rotation,Layer
D1,93.725,-61.9125,90.0,bottom
D10,150.875,-71.4375,90.0,bottom
D11,169.925,-76.2,90.0,bottom
D12,188.975,-80.9625,90.0,bottom
D13,93.725,-100.0125,90.0,bottom
D14,112.775,-100.0125,90.0,bottom
D15,131.825,-95.25,90.0,bottom
D16,150.875,-90.4875,90.0,bottom
D17,169.925,-95.25,90.0,bottom
D18,188.975,-100.0125,90.0,bottom
D19,161.2075,-121.9175,119.0,bottom
D2,112.775,-61.9125,90.0,bottom
D20,179.0975,-129.0675,119.0,bottom
D21,193.409366,-126.101406,209.0,bottom
D22,203.784292,-107.384545,209.0,bottom
D3,131.825,-57.15,90.0,bottom
D4,150.875,-52.3875,90.0,bottom
D5,169.925,-57.15,90.0,bottom
D6,188.975,-61.9125,90.0,bottom
D7,93.725,-80.9625,90.0,bottom
D8,112.775,-80.9625,90.0,bottom
D9,131.825,-76.2,90.0,bottom
LED1,85.725,-66.9925,0.0,bottom
LED10,142.875,-76.5175,0.0,bottom
LED11,161.925,-81.28,0.0,bottom
LED12,180.975,-86.0425,0.0,bottom
LED13,85.725,-105.0925,0.0,bottom
LED14,104.775,-105.0925,0.0,bottom
LED15,123.825,-100.33,0.0,bottom
LED16,142.875,-95.5675,0.0,bottom
LED17,161.925,-100.33,0.0,bottom
LED18,180.975,-105.0925,0.0,bottom
LED19,151.842167,-122.503069,29.0,bottom
LED2,104.775,-66.9925,0.0,bottom
LED20,169.673807,-129.639379,29.0,bottom
LED21,186.328722,-138.875227,29.0,bottom
LED22,196.703648,-120.158366,29.0,bottom
LED3,123.825,-62.23,0.0,bottom
LED4,142.875,-57.4675,0.0,bottom
LED5,161.925,-62.23,0.0,bottom
LED6,180.975,-66.9925,0.0,bottom
LED7,85.725,-86.0425,0.0,bottom
LED8,104.775,-86.0425,0.0,bottom
LED9,123.825,-81.28,0.0,bottom
S1,85.725,-61.9125,0.0,top
S10,142.875,-71.4375,0.0,top
S11,161.925,-76.2,0.0,top
S12,180.975,-80.9625,0.0,top
S13,85.725,-100.0125,0.0,top
S14,104.775,-100.0125,0.0,top
S15,123.825,-95.25,0.0,top
S16,142.875,-90.4875,0.0,top
S17,161.925,-95.25,0.0,top
S18,180.975,-100.0125,0.0,top
S19,154.305,-118.060001,331.0,top
S2,104.775,-61.9125,0.0,top
S20,172.130564,-125.195608,331.0,top
S21,188.791555,-134.432159,331.0,top
S22,199.166481,-115.715298,331.0,top
S3,123.825,-57.15,0.0,top
S4,142.875,-52.3875,0.0,top
S5,161.925,-57.15,0.0,top
S6,180.975,-61.9125,0.0,top
S7,85.725,-80.9625,0.0,top
S8,104.775,-80.9625,0.0,top
S9,123.825,-76.2,0.0,top
U1,202.1645,-71.914545,0.0,bottom
U2,207.421792,-99.134544,270.0,top
